,City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,margaret river,-52.23010339302894,36.97,77,99,34.14
1,puerto natales,-79.18473001020612,-39.05,99,100,4.23
2,jamestown,-11.93370151320866,71.4,72,98,17.43
3,invercargill,-53.65342312157885,40.12,73,100,21.5
4,dhidhdhoo,7.693979839380447,82.29,79,100,10.94
5,punta arenas,-71.23729003937237,4.06,96,100,14.41
6,grytviken,-39.80223020632384,48.27,53,100,15.84
7,lebu,-33.39927539145472,55.9,62,21,2.86
8,tibanbang,6.396573904944745,82.92,78,98,18.14
9,bella union,-30.042669307583402,61.07,85,100,4.09
10,khandyga,66.55968801559743,51.03,72,19,3.4
11,badger,84.27592220665417,32.41,99,100,8.08
12,taiohae,3.8507097527554635,81.57,78,7,10.0
13,longyearbyen,88.11536021872564,32.07,94,100,11.81
14,dudinka,76.13008074609786,32.02,90,22,2.82
15,port mathurin,-23.466095818284742,72.41,75,97,11.88
16,el granada,36.08430683714204,62.11,94,0,13.73
17,acapulco de juarez,6.300459756507365,81.9,76,4,7.61
18,adamstown,-37.809171319127195,52.74,64,56,19.39
19,tsetserleg,47.39281343764864,48.83,85,37,5.88
20,lihue,12.127516241197725,81.93,75,100,20.11
21,port-aux-francais,-62.47361746252145,-8.39,100,49,8.68
22,enewetak,24.322855423074202,81.16,76,100,11.95
23,olonkinbyen,86.83951988482727,32.25,96,100,12.01
24,albany,-56.98168642930459,33.87,83,100,44.49
25,puerto ayora,-5.15249739140738,78.06,78,64,17.09
26,tura,64.7655662880178,61.09,88,64,4.65
27,shakhtersk,49.257310922247626,62.06,98,67,0.65
28,utrik,32.18873979704844,75.76,79,14,14.56
29,blackmans bay,-66.51716417632642,-27.81,89,97,5.21
30,karratha,-18.26147105562093,73.26,82,98,13.11
31,ribeira grande,34.95529741423985,77.25,78,92,6.62
32,waitangi,-87.42235094738395,-49.29,95,100,19.66
33,bethel,52.44495889625824,51.15,97,100,14.09
34,hiratacho,36.24454957198023,80.22,84,9,9.57
35,prince albert,53.80781773001726,83.71,41,100,13.82
36,colonia,15.360652929480906,83.32,75,82,7.63
37,college,77.50272358151469,32.97,98,100,12.75
38,ust-nera,77.48006014351049,30.97,88,36,2.04
39,kurmuk,10.951671094061183,69.78,84,100,0.43
40,nadi,-21.066280086132224,70.68,61,100,16.22
41,ushuaia,-80.61107337762655,-33.27,100,100,6.31
42,nabinagar,23.7559718755319,79.97,87,97,9.44
43,barisal,22.761402410133073,82.35,83,100,11.99
44,al jawf,25.02313404015672,86.32,18,0,9.91
45,tiksi,85.50236313301329,30.09,90,41,7.67
46,rudbar,29.735336308352686,90.41,41,58,18.77
47,udachny,75.53259870181415,42.22,75,100,1.81
48,lompoc,27.395564641426034,66.81,86,0,18.86
49,hawaiian paradise park,19.855573014839237,72.95,85,94,16.53
50,chernyshevsk,54.2347881457265,57.15,88,50,1.88
51,san patricio,2.296888073391216,80.13,79,6,17.38
52,chonchi,-47.903304926356796,40.78,68,100,15.99
53,road town,20.813354175592195,83.39,78,17,20.49
54,malyye derbety,48.189083056528915,79.03,37,63,6.93
55,daru,-13.498059997704488,74.55,79,49,22.32
56,port lincoln,-34.38430196603789,59.43,72,0,19.13
57,portland,-45.12646360807478,51.06,90,100,28.68
58,sao felix do xingu,-6.723246323546377,92.03,24,2,3.47
59,constantia,-51.09935950164648,31.93,70,100,36.08
60,hasaki,32.46641548934345,80.13,77,66,5.82
61,port saint john's,-36.603983039627046,63.28,71,0,17.9
62,vorgashor,83.39208897742134,32.4,88,100,10.6
63,cargados carajos,-14.807751386897507,76.42,77,90,16.8
64,port alfred,-62.83780370642752,4.69,94,17,6.06
65,mount carmel,38.19920372371257,94.05,60,0,5.68
66,nova vicosa,-22.784444242015695,69.8,66,96,12.68
67,haiku-pauwela,33.27162769280899,73.65,71,22,6.96
68,tilhar,27.951442024933513,81.0,86,98,5.93
69,talnakh,80.18046220492141,33.73,96,75,15.26
70,priozersk,45.8308391532201,77.18,42,92,12.06
71,formosa do rio preto,-11.338061769326586,85.24,22,0,6.78
72,big bend,-26.940279589941113,64.58,71,58,9.44
73,iqaluit,73.04529528740551,36.3,94,65,3.2
74,al artawiyah,27.021484604466764,95.63,9,71,7.31
75,alaghsas,19.971983740439953,88.43,10,81,8.34
76,juneau,57.41604053712689,58.15,81,96,1.32
77,coahuayana de hidalgo,15.346482314914326,85.28,72,100,11.3
78,balpyk bi,44.83936231598642,74.59,21,0,5.82
79,elmendorf air force base,60.46947971780551,48.2,68,29,4.38
80,coquimbo,-30.79493188918606,60.1,73,99,16.26
81,ilulissat,81.03750915795214,31.96,99,100,10.25
82,west island,-15.76094126157193,75.07,76,95,26.6
83,kourou,10.859456262840553,83.23,74,5,13.29
84,kununurra,-20.462740241239317,55.92,48,0,12.62
85,bilibino,87.62511675164433,31.17,95,99,15.55
86,saudarkrokur,67.4115058146212,40.53,94,100,18.01
87,greenville,3.296517062307487,77.79,75,12,13.87
88,ladismith,-32.29933930115444,49.77,29,50,6.89
89,bredasdorp,-39.486098286024784,61.0,72,100,24.92
90,ceelbuur,5.206016961124192,77.56,62,9,24.65
91,inari,70.82026003908567,50.05,87,78,5.19
92,touros,2.423297546111172,79.59,80,41,17.52
93,mao,15.191868893730586,98.11,27,86,6.69
94,hermanus,-62.67960080407872,12.87,94,100,14.67
95,nemuro,31.797670048305832,79.72,78,11,8.86
96,buala,-5.434139223714965,82.6,80,100,10.56
97,taltal,-25.875146956308114,58.44,61,10,4.21
98,ribeira grande,18.25252104802304,79.77,78,68,16.8
99,nukunonu,-10.078225356627456,83.25,72,16,20.4
100,alotau,-14.084380768754471,77.9,75,100,28.57
101,oodweyne,8.211575386745338,78.8,44,7,19.22
102,papatowai,-55.11469632057413,38.41,60,100,20.62
103,abbeville,28.400172420424326,85.78,61,0,3.51
104,pasuquin,19.685280257778288,81.5,90,100,47.6
105,midvagur,62.79859421996372,48.13,79,100,6.13
106,mejit,11.6940629038194,82.26,83,100,19.64
107,stanley,-77.69685465778623,-32.49,99,85,10.8
108,willowmore,-32.73707977561773,55.89,23,82,8.84
109,vorkuta,68.56697251075062,58.15,87,100,7.31
110,poxoreo,-15.416496684869884,88.43,22,0,6.2
111,wewak,-3.1384230788270457,80.69,81,100,23.73
112,hilo,31.105690895487214,71.31,77,0,6.29
113,howard springs,-11.909655586566373,51.89,82,9,7.29
114,ushachy,55.0936574129322,61.41,90,100,2.35
115,san rafael del sur,11.155568611559275,85.23,73,50,23.31
116,greymouth,-41.3814961372254,51.53,68,68,19.73
117,ust-tsilma,64.35386770642995,52.86,94,81,3.87
118,thompson,89.52173086448116,31.89,93,90,13.6
119,port elizabeth,-61.932028027890766,22.93,89,100,14.74
120,shubarshi,46.93499177477085,79.92,48,100,8.9
121,whitehorse,69.69931296806686,43.66,96,95,11.21
122,santana,37.784457863632255,69.04,73,35,12.77
123,mhamid,28.787652330441787,110.3,10,93,10.29
124,sao joao da barra,-27.766132627367874,68.5,71,99,7.14
125,sunrise manor,36.785652033227635,84.67,15,3,9.55
126,kodiak,39.53408428801154,66.79,76,71,6.71
127,tolanaro,-32.34999367404516,60.24,71,16,25.28
128,jalai nur,46.47946297512661,68.76,50,100,4.32
129,sao gabriel da cachoeira,-0.3172384032475435,87.85,59,38,3.42
130,petropavlovsk-kamchatsky,43.74299625936047,56.89,97,100,8.75
131,takamaka,-7.8048534338101945,77.25,84,99,17.81
132,mandera,4.064919771183199,84.69,40,99,21.14
133,san jose del guaviare,0.7539822582587874,76.12,79,99,2.84
134,yellowknife,76.72489682237065,54.34,48,92,2.24
135,hamilton,31.6403151768575,80.13,74,27,8.43
136,bac lieu,5.923961302060647,82.76,81,100,13.87
137,san kamphaeng,18.625668874976853,77.31,95,22,1.52
138,wailua homesteads,36.03020956846477,72.0,80,100,11.32
139,makurazaki,30.801449680248396,83.23,82,10,14.16
140,rio grande,-35.797442325201025,57.24,73,100,29.8
141,valparaiso,-32.09656346571384,58.01,86,100,17.29
142,vernon,46.77863232117306,60.62,74,1,7.94
143,mangai,-3.757695714568186,86.54,36,96,1.63
144,toga village,-5.561055404691118,83.98,78,100,14.43
145,tofol,6.935534450414508,83.19,77,92,11.72
146,castillos,-37.47814270071381,56.64,65,100,27.36
147,gemena,2.6764985697207493,70.63,98,77,2.35
148,ivdel',61.85839366411594,56.61,92,82,3.8
149,saldanha,-33.11765210353834,59.18,74,1,17.96
150,santa marta,13.691843200219537,81.54,86,58,23.0
151,gornozavodsk,46.28171829037561,65.32,99,100,11.34
152,lycksele,64.31861007988135,57.04,89,100,3.53
153,taounate,34.415861894680646,86.47,30,0,15.61
154,al jubayl,27.47110998769641,91.38,67,12,10.29
155,qaqortoq,64.10689813229223,39.54,96,100,12.71
156,aasiaat,76.97932978944661,29.19,83,96,13.89
157,garoowe,8.1071736677942,75.24,62,5,28.61
158,as saffaniyah,28.17481196619846,94.41,53,14,7.43
159,cabo san lucas,10.220790288426628,82.56,78,59,13.33
160,axim,-1.0001962002797598,73.83,79,4,16.08
161,panjakent,39.543476143579994,70.9,37,3,5.66
162,namtsy,63.57316365425493,52.95,74,23,6.69
163,raduzhny,62.20415809846054,62.08,90,70,4.16
164,dem'yanovo,60.23047573367006,53.56,93,8,2.68
165,andalusia,31.473525148495895,91.15,28,0,2.13
166,peranamallur,12.493786780778038,79.7,66,100,6.78
167,naze,27.203614116737512,83.05,81,96,15.5
168,kone,-19.510085915922218,72.36,70,100,23.53
169,cockburn town,24.957532515573646,84.42,71,100,11.59
170,khash,28.16800156707204,82.04,47,100,8.81
171,lata,-8.705423475510088,84.25,77,51,10.96
172,edinburgh of the seven seas,-41.55684782526995,45.05,58,100,24.7
173,timaru,-43.522749074156515,26.11,71,5,10.27
174,adjumani,2.974708488078221,69.08,69,93,1.43
175,happy valley-goose bay,55.28288147047752,50.86,76,7,5.48
176,urengoy,64.0886946743235,65.12,89,8,6.49
177,muisne,1.1122695064678396,78.1,80,100,14.52
178,shilka,52.28508415777742,62.53,70,73,1.19
179,minas,21.9753125342133,85.96,68,100,13.82
180,mount isa,-20.12096294583003,57.94,92,1,15.79
181,fontenay-le-comte,46.43804948637154,67.89,54,48,13.13
182,blantyre,-15.720214465622846,64.76,47,0,5.32
183,riohacha,12.315286064466733,79.83,89,100,26.49
184,an nuhud,13.53178501159718,94.19,32,92,16.75
185,mont-dore,-23.17996652834188,68.16,57,16,22.19
186,crucecita,15.154960764498597,85.19,71,81,10.07
187,klungkung,-8.61794145386105,77.09,86,94,11.32
188,miandrarivo,-19.596997045091456,55.9,59,4,6.02
189,cumaribo,3.937655590259695,77.05,94,94,4.36
190,pisco,-18.88727563217833,67.6,75,100,22.59
191,ta`u,-15.042561367693239,77.52,67,12,8.37
192,bubaque,10.040818943455577,79.95,84,100,14.88
193,napanee,44.64701447689342,81.09,38,100,7.34
194,saipan,19.18756212378416,82.85,77,14,7.25
195,togur,58.38252904012094,58.89,93,19,3.89
196,macau,19.829068380837953,83.89,74,100,10.13
197,tongchuanshi,35.13004085590185,69.96,72,100,5.55
198,arraial do cabo,-25.591131221770496,72.5,77,31,14.63
199,balkanabat,41.19924955430122,97.63,22,100,10.33
200,rawalpindi,33.4804492986751,82.56,77,29,4.05
201,soderkoping,58.42278069495592,66.29,58,64,8.12
202,kerikeri,-31.266357888465734,61.14,66,30,28.66
203,maceio,-15.407767972260146,74.77,77,4,22.66
204,baruun-urt,47.37294940927998,62.94,64,41,3.94
205,fada,19.593764342118405,89.31,12,4,6.64
206,isafjordur,70.26155265893317,27.99,97,100,2.84
207,dryden,51.44329191826381,81.05,28,98,7.7
208,zhezqazghan,47.47308409736448,83.93,22,13,16.08
209,ebon,3.2282979428918424,83.03,71,82,3.38
210,selkirk,52.83345168976609,87.22,24,1,5.61
211,avarua,-30.378236513100234,63.03,84,100,12.35
212,masterton,-41.327554367008574,51.93,66,100,38.54
213,ouellah,-11.084703090316381,78.08,74,67,12.97
214,bol,13.935329544310008,90.99,39,99,3.71
215,nova sintra,5.708809134704367,81.18,76,100,15.95
216,abu zabad,13.019362417710099,87.24,48,100,8.41
217,la passe,2.2138061760309853,82.17,76,29,8.34
218,kayangel,12.46920439322632,82.81,77,100,13.6
219,flat rock,41.97013844563239,90.05,57,0,0.0
220,bagaha,24.572156996204228,86.13,63,100,8.86
221,monte azul,-15.13201406844388,87.15,15,3,4.27
222,klyuchi,57.31282756589974,52.25,87,5,3.4
223,polyarnyy,78.21572686667682,40.1,84,43,6.82
224,fuyu,47.48324479501605,66.47,94,8,2.95
225,culebra,18.56077785995511,89.69,80,16,21.45
226,egilsstadir,63.10239781166683,52.97,89,68,10.42
227,st. john's,45.05646705807621,59.16,96,100,16.15
228,shatki,55.16714486244837,61.02,96,99,5.23
229,brookings,41.842666822342665,64.08,72,6,5.86
230,kapuskasing,61.063756107765414,40.23,97,100,14.74
231,busembatia,0.8966696927139992,70.88,64,97,4.79
232,puerto lempira,17.000950885506555,83.28,78,4,13.33
233,cidreira,-35.34652922882409,56.44,71,95,23.02
234,genoa,44.30648106484708,79.12,65,0,18.41
235,kapa'a,34.443441801472105,71.58,70,8,11.3
236,chibougamau,54.99797283354371,70.57,41,54,17.2
237,hithadhoo,-5.550887460691428,80.28,73,100,17.45
238,wanning,15.684546399342196,84.04,74,100,6.87
239,saint-pierre,43.47934977573658,69.46,82,50,9.15
240,okha,55.92498360245972,53.04,94,100,12.55
241,miri,5.0977501527165,83.57,77,100,14.43
242,dadonghai,16.382704987510323,84.38,74,23,5.57
243,smithers,57.794311225698664,57.4,36,34,7.96
244,beinamar,7.7791666169653695,72.41,90,25,3.24
245,as sulayyil,20.164276846004427,99.5,8,100,9.04
246,georgetown,-11.254058562069304,72.05,71,17,17.02
247,klintsy,52.76867422001098,68.23,78,17,6.33
248,rzhyshchiv,50.01250614567368,72.16,57,86,7.4
249,bengkulu,-6.9581070034406025,81.03,71,100,17.13
